epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.89939,2.37541,12.2521,1.52811,0.00663,1,0.02366,0.00843,2.86981,12.5943,1.75324,0.0001,0.0001,0.0001
2,3.40105,2.56729,13.4019,1.64447,0.0101,1,0.02246,0.01493,1.17319,9.12537,1.13449,0.000218911,0.000218911,0.000218911
3,4.93715,1.9469,5.82145,1.23396,0.57521,1,0.82833,0.54654,1.39019,9.65965,1.13606,0.000336634,0.000336634,0.000336634
4,6.4023,1.7803,3.30427,1.23625,0.03897,0.5,0.03533,0.02188,1.37792,12.3289,1.19404,0.000453169,0.000453169,0.000453169
5,7.80998,1.64443,3.52497,1.17844,0.04028,1,0.04326,0.02288,1.85171,40.8052,1.30975,0.000568516,0.000568516,0.000568516
6,9.21029,1.62493,2.75881,1.1682,0.00981,1,0.01,0.00558,1.34075,163.271,1.1731,0.000682675,0.000682675,0.000682675
7,10.6152,1.4969,1.90043,1.10005,0.00895,1,0.00905,0.00633,1.2596,225.813,1.17204,0.000795646,0.000795646,0.000795646
8,11.9866,1.67754,1.78936,1.15594,0.0094,1,0.00957,0.00602,1.57686,170.292,1.31187,0.000907429,0.000907429,0.000907429
9,13.3953,1.56826,1.34032,1.09665,0.01915,1,0.0201,0.0112,1.62043,55.8623,1.36625,0.00101802,0.00101802,0.00101802
10,14.7999,1.56808,1.36464,1.16275,0.02594,1,0.02764,0.01804,1.44156,40.5386,1.32721,0.00112743,0.00112743,0.00112743
11,16.1964,1.53684,1.09042,1.0818,0.0554,1,0.0737,0.03685,1.82412,41.0446,1.41339,0.00123565,0.00123565,0.00123565
12,17.5682,1.45858,1.18518,1.10384,0.14927,1,0.18091,0.09954,1.59013,2.81693,1.30157,0.00134268,0.00134268,0.00134268
13,18.9273,1.47383,1.0486,1.11313,0.97449,1,0.995,0.64654,1.60841,1.4261,1.30952,0.00144852,0.00144852,0.00144852
14,20.3237,1.46705,1.35997,1.12597,0.99643,1,0.995,0.64654,1.64419,1.0421,1.29984,0.00155318,0.00155318,0.00155318
15,21.7298,1.66568,1.02994,1.19275,0.98715,1,0.995,0.54712,1.76943,0.88582,1.44501,0.00165665,0.00165665,0.00165665
16,23.1,1.766,1.06565,1.13364,1,0.96685,0.995,0.597,1.6677,0.92471,1.33963,0.00175893,0.00175893,0.00175893
17,24.4587,1.7883,1.1576,1.20473,0.49591,1,0.82833,0.49621,1.79742,1.23782,1.36444,0.0018416,0.0018416,0.0018416
18,25.828,1.56545,0.97469,1.07944,0.99327,1,0.995,0.74604,1.35006,0.94319,1.20118,0.0018317,0.0018317,0.0018317
19,27.3675,1.64623,1.01874,1.11165,0.96753,1,0.995,0.64658,1.29775,3.03703,1.21657,0.0018218,0.0018218,0.0018218
20,28.7482,1.59485,1.0153,1.15608,0.95683,1,0.995,0.6965,1.30205,0.84168,1.183,0.0018119,0.0018119,0.0018119
21,30.1409,1.6552,1.01071,1.12755,0.93603,1,0.995,0.64654,1.33207,1.1166,1.23922,0.001802,0.001802,0.001802
22,31.4975,1.58682,0.94374,1.08496,0.96445,1,0.995,0.6965,1.34951,1.09091,1.27819,0.0017921,0.0017921,0.0017921
23,32.8523,1.45373,0.79591,1.06226,0.97843,1,0.995,0.6965,1.3376,0.75979,1.22421,0.0017822,0.0017822,0.0017822
24,34.2166,1.38859,0.80785,1.01912,0.97622,1,0.995,0.62189,1.3689,1.04509,1.305,0.0017723,0.0017723,0.0017723
25,35.5752,1.42751,1.02101,1.04588,0.97347,1,0.995,0.597,1.47873,0.9428,1.38043,0.0017624,0.0017624,0.0017624
26,36.9957,1.55721,0.93055,1.09561,1,0.97462,0.995,0.54732,1.35996,0.99967,1.31331,0.0017525,0.0017525,0.0017525
